target,measure,condition,n,mean,ci_half
_,winrate,cr8_s46,9,0.25555555555555554,0.13659772221077085
_,winrate,cr8_o48,9,0.044444444444444446,0.05214931722493496
_,winrate,cr8_o48_sel_s46,9,0.05,0.04243446502785645
_,winrate,cr8_o48_fb_s46,9,0.03611111111111112,0.025967867753029363
_,winrate,cr8_o48_selfb_s46,9,0.030555555555555558,0.0178504768589825
_,winrate,swap_a,9,0.2361111111111111,0.12889420693647502
_,s_seed_adherence,cr8_s46,9,0.7283950617283952,0.13142381811553544
_,s_seed_adherence,cr8_o48,9,0.7407407407407407,0.13086575267262732
_,s_seed_adherence,cr8_o48_sel_s46,9,0.7530864197530864,0.1297424207096087
_,s_seed_adherence,cr8_o48_fb_s46,9,0.7160493827160493,0.09678834491555821
_,s_seed_adherence,cr8_o48_selfb_s46,9,0.7037037037037037,0.13580580964009595
_,s_seed_adherence,swap_a,9,0.654320987654321,0.15587882393604702
